0.PE2-PESTF_0.1	14916	14918		YPO_RS01080	2
0.PE2-PESTF_0.1	106581	106588		YPO_RS01520	7
0.PE2-PESTF_0.1	401010	401047		YPO_RS02925	37
0.PE2-PESTF_0.1	467303	467381		YPO_RS03220	78
0.PE2-PESTF_0.1	797110	797236		YPO_RS04665	126
0.PE2-PESTF_0.1	797547	798037		YPO_RS04665	490
0.PE2-PESTF_0.1	798592	798728		YPO_RS04670	136
0.PE2-PESTF_0.1	798909	799561		YPO_RS04670	652
0.PE2-PESTF_0.1	799684	799705		YPO_RS04670	21
0.PE2-PESTF_0.1	800017	801294		fliD	1277
0.PE2-PESTF_0.1	801304	801684		fliS	380
0.PE2-PESTF_0.1	801686	802012		YPO_RS04685	326
0.PE2-PESTF_0.1	802014	803195		YPO_RS04690	1181
0.PE2-PESTF_0.1	803234	803704		YPO_RS04695	470
0.PE2-PESTF_0.1	803710	804405		YPO_RS04700	695
0.PE2-PESTF_0.1	804421	805287		motA	866
0.PE2-PESTF_0.1	805287	806198		lafU	911
0.PE2-PESTF_0.1	806658	807254		YPO_RS04715	596
0.PE2-PESTF_0.1	807251	807706		YPO_RS04720	455
0.PE2-PESTF_0.1	807690	808061		YPO_RS04725	371
0.PE2-PESTF_0.1	808939	809241		YPO_RS04735	302
0.PE2-PESTF_0.1	811232	812249		YPO_RS04745	1017
0.PE2-PESTF_0.1	812543	813562		YPO_RS04750	1019
0.PE2-PESTF_0.1	813844	815214		YPO_RS04755	1370
0.PE2-PESTF_0.1	815394	815807		YPO_RS04760	413
0.PE2-PESTF_0.1	816351	816737		YPO_RS04765	386
0.PE2-PESTF_0.1	816868	821184		YPO_RS04770	4316
0.PE2-PESTF_0.1	821198	822517		YPO_RS04775	1319
0.PE2-PESTF_0.1	822543	824768		vgrG	2225
0.PE2-PESTF_0.1	830118	831461		gntP	1343
0.PE2-PESTF_0.1	833001	833399		YPO_RS04795	398
0.PE2-PESTF_0.1	833835	834710		YPO_RS04800	875
0.PE2-PESTF_0.1	835033	836790		YPO_RS04805	1757
0.PE2-PESTF_0.1	836783	838555		YPO_RS04810	1772
0.PE2-PESTF_0.1	838555	839859		YPO_RS04815	1304
0.PE2-PESTF_0.1	839849	840613		YPO_RS04820	764
0.PE2-PESTF_0.1	840606	841733		YPO_RS04825	1127
0.PE2-PESTF_0.1	841730	842806		YPO_RS04830	1076
