0.PE2-PESTF_0.1	799684	809786	10102	0.0098990
0.PE2-PESTF_0.1	798909	799561	652	0.0000000
0.PE2-PESTF_0.1	811232	825481	14249	0.0000000
0.PE2-PESTF_0.1	826334	826948	614	0.0000000
0.PE2-PESTF_0.1	827139	856920	29781	0.0000000
0.PE2-PESTF_0.1	1071375	1074720	3345	0.0000000
0.PE2-PESTF_0.1	1108907	1145917	37010	0.0000000
0.PE2-PESTF_0.1	2554180	2562891	8711	0.0000000
ABI745_HiSeqL5L6	2554161	2562915	8754	0.0000000
ABI843_nonUDG	1124062	1125696	1634	0.2870257
ABI843_nonUDG	2554163	2562908	8745	0.0000000
ABI910_6POST	246071	246628	557	0.6391382
ABI910_6POST	544296	544872	576	0.6875000
ABI910_6POST	906102	906705	603	0.6799337
ABI910_6POST	1123815	1125755	1940	0.3907216
ABI910_6POST	1972375	1973010	635	0.7968504
ABI910_6POST	1992818	1993418	600	0.7033333
ABI910_6POST	1993988	1994574	586	0.5853242
ABI910_6POST	2694116	2694635	519	0.5973025
ABI910_6POST	2887091	2900747	13656	0.0045401
ABI910_6POST	2969099	2969629	530	0.6396226
ABI910_6POST	3118516	3128505	9989	0.0202222
ABI910_6POST	3285673	3286198	525	0.7295238
ABI910_6POST	3999114	4000078	964	0.7603735
ABI910_6POST	4100846	4102553	1707	0.1634446
ABI910_6POST	4102683	4103262	579	0.0604490
ABI910_6POST	4325968	4326488	520	0.7153846
ABI910_6POST	2554166	2562914	8748	0.0000000
ABI910_6POST	3129749	3140429	10680	0.0000000
ABI910_6POST	3142372	3144179	1807	0.0000000
ABI933_1343UNTA85	1124072	1125679	1607	0.4573740
ABI933_1343UNTA85	2887086	2900730	13644	0.0057901
ABI933_1343UNTA85	3118560	3127004	8444	0.0035528
ABI933_1343UNTA85	3129769	3140505	10736	0.0045641
ABI933_1343UNTA85	2554161	2562911	8750	0.0000000
ABI933_1343UNTA85	3127149	3128456	1307	0.0000000
ABI933_1343UNTA85	3142353	3144178	1825	0.0000000
ARS007ss_ds.merged.samereadgroup.cleaned	758178	785305	27127	0.0119438
ARS007ss_ds.merged.samereadgroup.cleaned	786011	795664	9653	0.0256915
ARS007ss_ds.merged.samereadgroup.cleaned	896616	897231	615	0.4000000
ARS007ss_ds.merged.samereadgroup.cleaned	1124075	1125006	931	0.5767992
ARS007ss_ds.merged.samereadgroup.cleaned	1125108	1125695	587	0.4548552
ARS007ss_ds.merged.samereadgroup.cleaned	1321815	1322419	604	0.3476821
ARS007ss_ds.merged.samereadgroup.cleaned	2195965	2196677	712	0.3904494
ARS007ss_ds.merged.samereadgroup.cleaned	2563036	2563937	901	0.2031077
ARS007ss_ds.merged.samereadgroup.cleaned	2887092	2900727	13635	0.0229556
ARS007ss_ds.merged.samereadgroup.cleaned	3129778	3140416	10638	0.0179545
ARS007ss_ds.merged.samereadgroup.cleaned	3200392	3201147	755	0.4966888
ARS007ss_ds.merged.samereadgroup.cleaned	3223022	3223559	537	0.4785847
ARS007ss_ds.merged.samereadgroup.cleaned	3437800	3439880	2080	0.0500000
ARS007ss_ds.merged.samereadgroup.cleaned	3461805	3462355	550	0.1181818
ARS007ss_ds.merged.samereadgroup.cleaned	3462702	3463475	773	0.4993532
