1343UNTA85	1	yopE	pCD1
1343UNTA85	1	yopK/yopQ	pCD1
1343UNTA85	1	yopT	pCD1
1343UNTA85	1	yopM	pCD1
1343UNTA85	1	yopD	pCD1
1343UNTA85	1	yopB	pCD1
1343UNTA85	1	lcrV	pCD1
1343UNTA85	1	lcrG	pCD1
1343UNTA85	1	lcrR	pCD1
1343UNTA85	1	yscV	pCD1
1343UNTA85	1	yscY	pCD1
1343UNTA85	1	yscX	pCD1
1343UNTA85	1	sycN	pCD1
1343UNTA85	1	tyeA	pCD1
1343UNTA85	1	lcrE	pCD1
1343UNTA85	1	yscN	pCD1
1343UNTA85	1	yscO	pCD1
1343UNTA85	1	yscP	pCD1
1343UNTA85	1	yscQ	pCD1
1343UNTA85	1	yscR	pCD1
1343UNTA85	1	yscS	pCD1
1343UNTA85	1	yscT	pCD1
1343UNTA85	1	yscU	pCD1
1343UNTA85	1	virG	pCD1
1343UNTA85	1	virF	pCD1
1343UNTA85	1	yscB	pCD1
1343UNTA85	1	yscC	pCD1
1343UNTA85	1	yscG	pCD1
1343UNTA85	1	yopR	pCD1
1343UNTA85	1	lcrO	pCD1
1343UNTA85	1	ylpB	pCD1
1343UNTA85	1	yscK	pCD1
1343UNTA85	1	yscL	pCD1
1343UNTA85	1	yopH	pCD1
1343UNTA85	1	yopJ	pCD1
1343UNTA85	1	ypkA	pCD1
1343UNTA85	1	yadA%27	pCD1
6POST	1	yopE	pCD1
6POST	1	yopK/yopQ	pCD1
6POST	1	yopT	pCD1
6POST	1	yopM	pCD1
6POST	0.9956522	yopD	pCD1
6POST	1	yopB	pCD1
6POST	1	lcrV	pCD1
6POST	1	lcrG	pCD1
6POST	1	lcrR	pCD1
6POST	0.9914854	yscV	pCD1
6POST	1	yscY	pCD1
6POST	1	yscX	pCD1
6POST	1	sycN	pCD1
6POST	1	tyeA	pCD1
6POST	1	lcrE	pCD1
6POST	0.9962093	yscN	pCD1
6POST	1	yscO	pCD1
6POST	1	yscP	pCD1
6POST	1	yscQ	pCD1
6POST	1	yscR	pCD1
6POST	1	yscS	pCD1
6POST	1	yscT	pCD1
6POST	1	yscU	pCD1
6POST	1	virG	pCD1
6POST	1	virF	pCD1
6POST	1	yscB	pCD1
6POST	1	yscC	pCD1
6POST	1	yscG	pCD1
6POST	1	yopR	pCD1
6POST	1	lcrO	pCD1
6POST	1	ylpB	pCD1
6POST	1	yscK	pCD1
6POST	1	yscL	pCD1
6POST	1	yopH	pCD1
6POST	1	yopJ	pCD1
6POST	1	ypkA	pCD1
6POST	1	yadA%27	pCD1
ARS007	1	yopE	pCD1
ARS007	1	yopK/yopQ	pCD1
ARS007	1	yopT	pCD1
ARS007	1	yopM	pCD1
ARS007	1	yopD	pCD1
ARS007	0.9435685	yopB	pCD1
ARS007	0.9663265	lcrV	pCD1
ARS007	1	lcrG	pCD1
